Nodo: 309277975, Data: {'y': 4.0605508, 'x': -73.4289254, 'street_count': 3}
Nodo: 309277976, Data: {'y': 4.0637398, 'x': -73.3986154, 'street_count': 3}
Nodo: 309277984, Data: {'y': 4.0871264, 'x': -73.360551, 'street_count': 3}
Nodo: 309278010, Data: {'y': 4.0738106, 'x': -73.1935396, 'street_count': 3}
Nodo: 369774611, Data: {'y': 4.1715881, 'x': -73.5839703, 'street_count': 3}
Nodo: 369774613, Data: {'y': 4.1711036, 'x': -73.5851551, 'street_count': 3}
Nodo: 369774621, Data: {'y': 4.1709757, 'x': -73.5938832, 'street_count': 3}
Nodo: 443333563, Data: {'y': 4.1994385, 'x': -73.7204744, 'street_count': 3}
Nodo: 443334548, Data: {'y': 4.20116, 'x': -73.725699, 'street_count': 3}
Nodo: 564815516, Data: {'y': 4.0540451, 'x': -73.7149665, 'street_count': 3}
Nodo: 564815520, Data: {'y': 4.0539511, 'x': -73.7129806, 'street_count': 3}
Nodo: 564815538, Data: {'y': 4.0433555, 'x': -73.7165847, 'street_count': 1}
Nodo: 626143295, Data: {'y': 4.118971, 'x': -73.3817467, 'street_count': 3}
Nodo: 820875913, Data: {'y': 4.1150045, 'x': -73.6053253, 'street_count': 4}
Nodo: 820875930, Data: {'y': 4.1667904, 'x': -73.6235995, 'street_count': 3}
Nodo: 820875937, Data: {'y': 4.1162854, 'x': -73.6210072, 'street_count': 1}
Nodo: 820876027, Data: {'y': 4.1146342, 'x': -73.6200809, 'street_count': 1}
Nodo: 820876159, Data: {'y': 4.1163675, 'x': -73.6175571, 'street_count': 1}
Nodo: 820876172, Data: {'y': 4.1157782, 'x': -73.607615, 'street_count': 3}
Nodo: 820876183, Data: {'y': 4.1669388, 'x': -73.6228125, 'street_count': 3}
Nodo: 820876229, Data: {'y': 4.167955, 'x': -73.6675274, 'street_count': 3}
Nodo: 820876329, Data: {'y': 4.1150863, 'x': -73.617813, 'street_count': 4}
Nodo: 820876376, Data: {'y': 4.1162844, 'x': -73.6168733, 'street_count': 1}
Nodo: 820876388, Data: {'y': 4.1159043, 'x': -73.6086834, 'street_count': 1}
Nodo: 820876437, Data: {'y': 4.1181022, 'x': -73.6139104, 'street_count': 3}
Nodo: 820876549, Data: {'y': 4.1155094, 'x': -73.6167642, 'street_count': 3}
Nodo: 820876561, Data: {'y': 4.1168972, 'x': -73.6052998, 'street_count': 3}
Nodo: 820876652, Data: {'y': 4.1150281, 'x': -73.6052705, 'street_count': 4}
Nodo: 820876714, Data: {'y': 4.1154205, 'x': -73.6169875, 'street_count': 3}
Nodo: 820876773, Data: {'y': 4.1156674, 'x': -73.6095288, 'street_count': 3}
Nodo: 820876859, Data: {'y': 4.1153452, 'x': -73.6070303, 'street_count': 3}
Nodo: 820876868, Data: {'y': 4.1670958, 'x': -73.6228468, 'street_count': 3}
Nodo: 820876872, Data: {'y': 4.16317, 'x': -73.6634965, 'street_count': 3}
